period,layer,month,gross_ret,net_ret,total_cost
development,simple_product_20bp,202008,0.010577668386729577,0.0075979227960081275,0.0029522485691778136
development,simple_product_20bp,202009,-0.05604268013410518,-0.06300084381068694,0.007396513159408261
development,simple_product_20bp,202010,0.010953708662997608,0.0082046868614718,0.0027223269669818676
development,simple_product_20bp,202011,0.012760076932868847,0.011312189751346402,0.0014305215204689923
development,simple_product_20bp,202012,-0.016139416604342705,-0.018327180086800232,0.002225781578137905
development,simple_product_20bp,202101,0.006498641229521818,0.004207836738184589,0.002278288221220247
development,simple_product_20bp,202102,-0.01044094912705007,-0.012264354582550374,0.0018441146424180925
development,simple_product_20bp,202103,0.014383854279514718,0.012302045038516951,0.002054187175485249
development,simple_product_20bp,202104,-0.005547007115222713,-0.011750190618667555,0.006255372199010786
development,simple_product_20bp,202105,0.050212873633949995,0.04575182407642453,0.004255799782376583
development,simple_product_20bp,202106,0.04853786195862764,0.0412321495019794,0.006989861563888133
development,simple_product_20bp,202107,0.07372775808259391,0.06503841123756904,0.008122664880363749
development,simple_product_20bp,202108,0.08747843140501432,0.07759129128519704,0.00912953732816775
development,simple_product_20bp,202109,-0.04354959840334327,-0.05084452735969813,0.007653922964290883
development,simple_product_20bp,202110,0.018775174420315288,0.013810354544988579,0.004883888661999429
development,simple_product_20bp,202111,0.017221704278473915,0.010598679896954621,0.0065304625424783425
development,simple_product_20bp,202112,0.012993471317898964,0.006692765802841505,0.006237869060073036
development,simple_product_20bp,202201,-0.05823062754078845,-0.06195816983507174,0.003964680391135648
development,simple_product_20bp,202202,0.0011219001157756203,-0.00026891377822924056,0.0013892552883358624
development,simple_product_20bp,202203,-0.016526288006067924,-0.017900446196347564,0.001397850524202061
development,simple_product_20bp,202204,-0.025567069343929938,-0.026697455331597064,0.0011603811657133825
development,simple_product_20bp,202205,0.0031575185938164108,0.0025556240826603016,0.0006000000000000001
development,simple_product_20bp,202206,0.016143685205723513,0.013873802129052537,0.0022358443430200736
development,simple_product_20bp,202207,0.02212232394060276,0.019480460681180478,0.0025877397270548455
development,simple_product_20bp,202208,0.004717087824489097,0.002001334214262407,0.0027062295508742252
development,simple_product_20bp,202209,-0.03164803958327134,-0.0344095225289609,0.0028554498712315703
development,simple_product_20bp,202210,0.01063769916081081,0.009183562088669772,0.0014396766253833159
development,simple_product_20bp,202211,0.03195879489397391,0.029215241628128608,0.0026617749727289508
development,simple_product_20bp,202212,-0.010417400701475121,-0.013063636388980893,0.002677171146729317
development,simple_product_20bp,202301,0.02803882689197912,0.02613674490848572,0.0018517583587167304
development,simple_product_20bp,202302,0.004766662101386654,0.002414839914985256,0.002343115514421723
development,simple_product_20bp,202303,0.004465372230491482,0.0017458402432204423,0.002710843827485527
development,simple_product_20bp,202304,0.002881663724131789,0.0005833544977795757,0.0022941567673554356
development,simple_product_20bp,202305,0.0008164933333809632,-0.0016100677785725326,0.0024271580151146587
development,simple_product_20bp,202306,0.0003484990992244086,-0.002080173605586988,0.0024302898054768107
development,simple_product_20bp,202307,0.014118659075696538,0.011786152827377716,0.002302257991015697
development,simple_product_20bp,202308,-0.010379872715418292,-0.013555642094958742,0.003213797768863725
development,simple_product_20bp,202309,-0.004134212365732859,-0.006362866884676355,0.0022401045159334233
